Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2015-09-15,2.81,2015-10-12,3.43,19,22.06
2015-12-17,2.65,2016-01-11,2.39,15,-10.03
2015-12-30,2.60,2016-01-11,2.39,7,-8.12
2016-01-29,2.32,2016-05-03,3.07,65,32.39
2016-02-17,2.24,2016-05-03,3.07,53,37.42
2016-05-25,2.82,2016-06-13,2.80,12,-0.74
2016-11-02,4.36,2016-11-03,4.04,1,-7.25
2016-11-17,4.20,2016-12-01,3.97,9,-5.59
2016-12-08,4.26,2017-06-09,9.15,125,114.52
2017-10-24,10.64,2017-10-31,9.95,5,-6.50
2017-12-11,10.41,2017-12-28,10.24,12,-1.65
2018-04-18,12.76,2018-06-25,15.32,47,20.11
2018-07-11,16.10,2018-07-27,16.01,12,-0.52
2018-08-27,14.40,2018-10-04,14.89,27,3.38
2018-09-10,14.21,2018-10-04,14.89,18,4.77
2018-10-31,13.81,2018-11-12,13.55,8,-1.89
2019-01-07,14.44,2019-04-04,19.48,61,34.88
2019-10-04,32.72,2019-10-18,31.43,10,-3.93
2019-10-24,32.33,2019-11-07,28.58,10,-11.63
2019-11-13,31.43,2020-02-24,49.10,68,56.20
2020-03-04,51.22,2020-03-05,49.82,1,-2.74
2020-03-24,43.00,2020-06-04,73.52,50,70.97
2020-04-06,39.26,2020-06-04,73.52,41,87.24
2020-09-25,96.09,2020-10-21,102.20,18,6.36
2020-11-05,103.65,2020-11-10,88.58,3,-14.54
2020-11-19,96.68,2021-01-04,109.24,29,12.99
2021-04-01,115.54,2021-04-19,114.58,11,-0.83
2021-10-13,139.90,2021-10-26,136.37,9,-2.52
2021-12-23,143.93,2022-01-04,122.19,7,-15.11
2022-03-16,62.24,2022-04-06,65.66,15,5.50
2022-05-31,37.51,2022-06-14,30.35,10,-19.08
2022-06-23,36.38,2022-07-26,31.55,22,-13.28
2022-09-09,34.81,2022-09-22,28.57,9,-17.93
2022-10-04,31.53,2022-10-11,25.67,5,-18.59
2022-10-18,28.73,2022-12-09,38.38,37,33.59
2023-01-04,37.54,2023-02-16,44.91,30,19.63
2023-03-14,43.80,2023-04-11,44.78,19,2.24
2023-08-29,58.80,2023-09-18,59.50,13,1.19
2023-10-17,54.17,2023-10-25,48.49,6,-10.49
2023-11-02,59.70,2024-01-02,73.83,40,23.67
2024-04-23,74.01,2024-05-08,62.73,11,-15.24
2024-06-04,60.68,2024-07-10,65.61,24,8.12
